"ordinal","field_group","column_name","data_type","nullable","source_or_derivation","description"
"1","identity","source_id","string","NO","Literal SRC01","Stable catalog identifier for the source"
"2","identity","source_name","string","NO","Bronze source_name","Current value vduydong/vietnam-real-estates-2"
"3","identity","source_listing_id","string","YES","NULL for SRC01","Reserved for a native listing identifier from future listing sources"
"4","identity","source_record_url","string","YES","NULL for SRC01","Reserved for a source listing URL"
"5","identity","listing_id","string","NO","SHA-256 under the versioned ID contract","Source-scoped content identity; exact duplicate audit rows share this value"
"6","identity","listing_id_version","string","NO","Literal src_content_sha256_v1","Version of the listing ID contract"
"7","identity","duplicate_group_id","string","NO","Equal to listing_id in v1","Exact intra-source duplicate group"
"8","identity","duplicate_count","long","NO","COUNT over duplicate_group_id","Number of audit rows in the exact duplicate group"
"9","identity","duplicate_rank","integer","NO","ROW_NUMBER over duplicate_group_id","Rank 1 is the canonical business row"
"10","identity","is_canonical","boolean","NO","duplicate_rank = 1","Required filter for analytical counts and measures"
"11","content","title","string","YES","NULLIF(TRIM(Bronze name), '')","Canonical listing title"
"12","content","description","string","YES","Trim outer whitespace; blank becomes NULL","Canonical listing description"
"13","property","property_type_raw","string","YES","Bronze property_type_name unchanged","Raw property type for audit"
"14","property","property_type","string","YES","Trim and map to one of the five reviewed SRC01 categories","Canonical property type"
"15","location","province_name_raw","string","YES","Bronze province_name unchanged","Source province label before location mapping"
"16","location","province_name","string","YES","NULLIF(TRIM(province_name_raw), '')","Clean display label only; not a master-data match"
"17","location","district_name_raw","string","YES","Bronze district_name unchanged","Source district label before location mapping"
"18","location","district_name","string","YES","NULLIF(TRIM(district_name_raw), '')","Clean display label only; not a master-data match"
"19","location","ward_name_raw","string","YES","Bronze ward_name unchanged","Source ward label before location mapping"
"20","location","ward_name","string","YES","NULLIF(TRIM(ward_name_raw), '')","Clean display label only; not a master-data match"
"21","location","street_name","string","YES","NULLIF(TRIM(Bronze street_name), '')","Clean source street label"
"22","location","project_name","string","YES","NULLIF(TRIM(Bronze project_name), '')","Clean source project label"
"23","measure","price_raw","string","YES","Bronze price unchanged","Preserved raw value for cast audit"
"24","measure","price_vnd","decimal(20,0)","YES","TRY_CAST(TRIM(price_raw)); zero retained for audit","Listing/asking price in VND; not a completed transaction price"
"25","measure","area_m2","double","YES","Bronze area","Area in square metres; invalid values remain auditable through DQ flags"
"26","measure","price_per_m2","decimal(24,2)","YES","price_vnd / area_m2 only when price_vnd > 0 and area_m2 > 0","Derived asking price per square metre"
"27","attribute","floor_count","integer","YES","Cast Bronze floor_count after integer/nonnegative precondition check","Number of floors"
"28","attribute","frontage_width_m","double","YES","Bronze frontage_width","Frontage width in metres"
"29","attribute","house_depth_m","double","YES","Bronze house_depth","House depth in metres"
"30","attribute","road_width_m","double","YES","Bronze road_width","Road width in metres"
"31","attribute","bedroom_count","integer","YES","Cast Bronze bedroom_count after integer/nonnegative precondition check","Number of bedrooms"
"32","attribute","bathroom_count","integer","YES","Cast Bronze bathroom_count after integer/nonnegative precondition check","Number of bathrooms"
"33","attribute","house_direction","string","YES","NULLIF(TRIM(Bronze house_direction), '')","Clean source house direction"
"34","attribute","balcony_direction","string","YES","NULLIF(TRIM(Bronze balcony_direction), '')","Clean source balcony direction"
"35","time","published_at_raw","string","YES","Bronze published_at unchanged","Preserved source timestamp without an observed UTC offset"
"36","time","published_at","timestamp_ntz","YES","Parse published_at_raw without timezone conversion","Source-local-naive timestamp pending timezone confirmation"
"37","time","published_date","date","YES","DATE(published_at)","Calendar date without timezone conversion"
"38","time","published_year","integer","YES","YEAR(published_at)","Publication year"
"39","time","published_month","integer","YES","MONTH(published_at)","Publication month number"
"40","time","year_month","string","YES","DATE_FORMAT(published_at, 'yyyy-MM')","Business month used by downstream analysis"
"41","lineage","source_file","string","NO","Bronze source_file","Raw shard lineage"
"42","lineage","bronze_batch_id","string","NO","Bronze batch_id","Bronze ingestion batch lineage"
"43","lineage","bronze_ingested_at","timestamp","NO","Bronze ingested_at","UTC technical ingestion timestamp"
"44","lineage","bronze_ingestion_date","date","NO","Bronze ingestion_date","UTC technical ingestion date"
"45","lineage","silver_batch_id","string","NO","Generated once per Silver execution","Silver processing batch identifier"
"46","lineage","silver_processed_at","timestamp","NO","Generated once per Silver execution","UTC technical processing timestamp"
"47","lineage","silver_schema_version","string","NO","Literal silver_listing_core_v1","Version of this output schema"
"48","quality","dq_rule_version","string","NO","Literal src01_silver_core_dq_v1","Version of the implemented DQ rule contract"
"49","quality","dq_threshold_version","string","NO","Literal src01_raw_20260904_p99_v1","Version of profiling-derived thresholds"
"50","quality","dq_status","string","NO","Precedence REJECTED then REVIEW then VALID","Row-level summary; not a universal Gold filter"
"51","quality","dq_error_codes","array<string>","NO","Sorted distinct DQ01-DQ14 codes; [] when valid","Rule-specific failures/review flags"
"52","quality","is_price_valid","boolean","NO","price_vnd > 0 and cast succeeded","Usability flag for price KPIs"
"53","quality","is_area_valid","boolean","NO","area_m2 IS NOT NULL AND area_m2 > 0","Usability flag for area and price-per-m2 KPIs"
"54","quality","is_published_at_valid","boolean","NO","published_at parsed successfully","Usability flag for time KPIs"
"55","quality","is_province_valid","boolean","NO","province_name IS NOT NULL","Usability flag for province-level KPIs"
"56","quality","is_district_valid","boolean","NO","district_name IS NOT NULL","Usability flag for district-level KPIs"
"57","quality","is_ward_valid","boolean","NO","ward_name IS NOT NULL","Usability flag for ward-level KPIs"
"58","partition","partition_year_month","string","NO","COALESCE(year_month, 'unknown')","Physical partition key; pending user approval"
